Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
HHS Region 9,Season peak percentage,Bin,percent,5.9,6,0.002466667
HHS Region 9,Season peak percentage,Bin,percent,6,6.1,0.0016
HHS Region 9,Season peak percentage,Bin,percent,6.1,6.2,0.0012
HHS Region 9,Season peak percentage,Bin,percent,6.2,6.3,0.001266667
HHS Region 9,Season peak percentage,Bin,percent,6.3,6.4,0.000533333
HHS Region 9,Season peak percentage,Bin,percent,6.4,6.5,0.000666667
HHS Region 9,Season peak percentage,Bin,percent,6.5,6.6,0.000533333
HHS Region 9,Season peak percentage,Bin,percent,6.6,6.7,0.000333333
HHS Region 9,Season peak percentage,Bin,percent,6.7,6.8,0.000466667
HHS Region 9,Season peak percentage,Bin,percent,6.8,6.9,0.000133333
HHS Region 9,Season peak percentage,Bin,percent,6.9,7,0.000333333
HHS Region 9,Season peak percentage,Bin,percent,7,7.1,0.000266667
HHS Region 9,Season peak percentage,Bin,percent,7.1,7.2,6.67E-05
HHS Region 9,Season peak percentage,Bin,percent,7.2,7.3,6.67E-05
HHS Region 9,Season peak percentage,Bin,percent,7.3,7.4,6.67E-05
HHS Region 9,Season peak percentage,Bin,percent,7.4,7.5,0.000133333
HHS Region 9,Season peak percentage,Bin,percent,7.5,7.6,0.000133333
HHS Region 9,Season peak percentage,Bin,percent,7.6,7.7,0.000266667
HHS Region 9,Season peak percentage,Bin,percent,7.7,7.8,0.000133333
HHS Region 9,Season peak percentage,Bin,percent,7.8,7.9,0.000266667
HHS Region 9,Season peak percentage,Bin,percent,7.9,8,6.67E-05
HHS Region 9,Season peak percentage,Bin,percent,8,8.1,0.000266667
HHS Region 9,Season peak percentage,Bin,percent,8.1,8.2,0.0002
HHS Region 9,Season peak percentage,Bin,percent,8.2,8.3,0.000266667
HHS Region 9,Season peak percentage,Bin,percent,8.3,8.4,0.000133333
HHS Region 9,Season peak percentage,Bin,percent,8.4,8.5,0.000266667
HHS Region 9,Season peak percentage,Bin,percent,8.5,8.6,6.67E-05
HHS Region 9,Season peak percentage,Bin,percent,8.6,8.7,0.000133333
HHS Region 9,Season peak percentage,Bin,percent,8.7,8.8,0.000133333
HHS Region 9,Season peak percentage,Bin,percent,8.8,8.9,6.67E-05
HHS Region 9,Season peak percentage,Bin,percent,8.9,9,0.0002
HHS Region 9,Season peak percentage,Bin,percent,9,9.1,0.00001
HHS Region 9,Season peak percentage,Bin,percent,9.1,9.2,0.00001
HHS Region 9,Season peak percentage,Bin,percent,9.2,9.3,0.00001
HHS Region 9,Season peak percentage,Bin,percent,9.3,9.4,0.00001
HHS Region 9,Season peak percentage,Bin,percent,9.4,9.5,0.00001
HHS Region 9,Season peak percentage,Bin,percent,9.5,9.6,6.67E-05
HHS Region 9,Season peak percentage,Bin,percent,9.6,9.7,0.0002
HHS Region 9,Season peak percentage,Bin,percent,9.7,9.8,0.00001
HHS Region 9,Season peak percentage,Bin,percent,9.8,9.9,0.00001
HHS Region 9,Season peak percentage,Bin,percent,9.9,10,6.67E-05
HHS Region 9,Season peak percentage,Bin,percent,10,10.1,6.67E-05
HHS Region 9,Season peak percentage,Bin,percent,10.1,10.2,6.67E-05
HHS Region 9,Season peak percentage,Bin,percent,10.2,10.3,0.00001
HHS Region 9,Season peak percentage,Bin,percent,10.3,10.4,0.00001
HHS Region 9,Season peak percentage,Bin,percent,10.4,10.5,0.000133333
HHS Region 9,Season peak percentage,Bin,percent,10.5,10.6,0.00001
HHS Region 9,Season peak percentage,Bin,percent,10.6,10.7,6.67E-05
HHS Region 9,Season peak percentage,Bin,percent,10.7,10.8,0.00001
HHS Region 9,Season peak percentage,Bin,percent,10.8,10.9,0.00001
HHS Region 9,Season peak percentage,Bin,percent,10.9,11,0.00001
HHS Region 9,Season peak percentage,Bin,percent,11,11.1,0.00001
HHS Region 9,Season peak percentage,Bin,percent,11.1,11.2,0.00001
HHS Region 9,Season peak percentage,Bin,percent,11.2,11.3,0.00001
HHS Region 9,Season peak percentage,Bin,percent,11.3,11.4,0.00001
HHS Region 9,Season peak percentage,Bin,percent,11.4,11.5,0.00001
HHS Region 9,Season peak percentage,Bin,percent,11.5,11.6,0.00001
HHS Region 9,Season peak percentage,Bin,percent,11.6,11.7,0.00001
HHS Region 9,Season peak percentage,Bin,percent,11.7,11.8,0.00001
HHS Region 9,Season peak percentage,Bin,percent,11.8,11.9,6.67E-05
HHS Region 9,Season peak percentage,Bin,percent,11.9,12,0.00001
HHS Region 9,Season peak percentage,Bin,percent,12,12.1,0.00001
HHS Region 9,Season peak percentage,Bin,percent,12.1,12.2,0.00001
HHS Region 9,Season peak percentage,Bin,percent,12.2,12.3,0.00001
HHS Region 9,Season peak percentage,Bin,percent,12.3,12.4,0.00001
HHS Region 9,Season peak percentage,Bin,percent,12.4,12.5,0.00001
HHS Region 9,Season peak percentage,Bin,percent,12.5,12.6,0.00001
HHS Region 9,Season peak percentage,Bin,percent,12.6,12.7,0.00001
HHS Region 9,Season peak percentage,Bin,percent,12.7,12.8,0.00001
HHS Region 9,Season peak percentage,Bin,percent,12.8,12.9,0.00001
HHS Region 9,Season peak percentage,Bin,percent,12.9,13,0.00001
HHS Region 9,Season peak percentage,Bin,percent,13,100,0.000133333
HHS Region 9,1 wk ahead,Point,percent,NA,NA,2.63456
HHS Region 9,1 wk ahead,Bin,percent,0,0.1,0.00001
HHS Region 9,1 wk ahead,Bin,percent,0.1,0.2,0.00001
HHS Region 9,1 wk ahead,Bin,percent,0.2,0.3,0.00001
HHS Region 9,1 wk ahead,Bin,percent,0.3,0.4,0.00001
HHS Region 9,1 wk ahead,Bin,percent,0.4,0.5,0.00001
HHS Region 9,1 wk ahead,Bin,percent,0.5,0.6,0.00001
HHS Region 9,1 wk ahead,Bin,percent,0.6,0.7,0.00001
HHS Region 9,1 wk ahead,Bin,percent,0.7,0.8,0.00001
HHS Region 9,1 wk ahead,Bin,percent,0.8,0.9,0.00001
HHS Region 9,1 wk ahead,Bin,percent,0.9,1,0.00001
HHS Region 9,1 wk ahead,Bin,percent,1,1.1,0.00001
HHS Region 9,1 wk ahead,Bin,percent,1.1,1.2,0.00001
HHS Region 9,1 wk ahead,Bin,percent,1.2,1.3,0.00001
HHS Region 9,1 wk ahead,Bin,percent,1.3,1.4,0.00001
HHS Region 9,1 wk ahead,Bin,percent,1.4,1.5,0.00001
HHS Region 9,1 wk ahead,Bin,percent,1.5,1.6,0.00001
HHS Region 9,1 wk ahead,Bin,percent,1.6,1.7,0.00001
HHS Region 9,1 wk ahead,Bin,percent,1.7,1.8,0.00001
HHS Region 9,1 wk ahead,Bin,percent,1.8,1.9,0.00001
HHS Region 9,1 wk ahead,Bin,percent,1.9,2,0.00001
HHS Region 9,1 wk ahead,Bin,percent,2,2.1,0.00001
HHS Region 9,1 wk ahead,Bin,percent,2.1,2.2,0.000533333
HHS Region 9,1 wk ahead,Bin,percent,2.2,2.3,0.002333333
HHS Region 9,1 wk ahead,Bin,percent,2.3,2.4,0.017533333
HHS Region 9,1 wk ahead,Bin,percent,2.4,2.5,0.1006
HHS Region 9,1 wk ahead,Bin,percent,2.5,2.6,0.336333333
HHS Region 9,1 wk ahead,Bin,percent,2.6,2.7,0.296133333
HHS Region 9,1 wk ahead,Bin,percent,2.7,2.8,0.139866667
HHS Region 9,1 wk ahead,Bin,percent,2.8,2.9,0.062333333
HHS Region 9,1 wk ahead,Bin,percent,2.9,3,0.023066667
HHS Region 9,1 wk ahead,Bin,percent,3,3.1,0.009066667
HHS Region 9,1 wk ahead,Bin,percent,3.1,3.2,0.005666667
HHS Region 9,1 wk ahead,Bin,percent,3.2,3.3,0.003
HHS Region 9,1 wk ahead,Bin,percent,3.3,3.4,0.0016
HHS Region 9,1 wk ahead,Bin,percent,3.4,3.5,0.000533333
HHS Region 9,1 wk ahead,Bin,percent,3.5,3.6,0.000533333
HHS Region 9,1 wk ahead,Bin,percent,3.6,3.7,0.000333333
HHS Region 9,1 wk ahead,Bin,percent,3.7,3.8,0.0002
HHS Region 9,1 wk ahead,Bin,percent,3.8,3.9,6.67E-05
HHS Region 9,1 wk ahead,Bin,percent,3.9,4,0.00001
HHS Region 9,1 wk ahead,Bin,percent,4,4.1,6.67E-05
HHS Region 9,1 wk ahead,Bin,percent,4.1,4.2,0.00001
HHS Region 9,1 wk ahead,Bin,percent,4.2,4.3,0.00001
HHS Region 9,1 wk ahead,Bin,percent,4.3,4.4,6.67E-05
HHS Region 9,1 wk ahead,Bin,percent,4.4,4.5,0.00001
HHS Region 9,1 wk ahead,Bin,percent,4.5,4.6,6.67E-05
HHS Region 9,1 wk ahead,Bin,percent,4.6,4.7,0.00001
HHS Region 9,1 wk ahead,Bin,percent,4.7,4.8,0.00001
HHS Region 9,1 wk ahead,Bin,percent,4.8,4.9,6.67E-05
HHS Region 9,1 wk ahead,Bin,percent,4.9,5,0.00001
HHS Region 9,1 wk ahead,Bin,percent,5,5.1,0.00001
HHS Region 9,1 wk ahead,Bin,percent,5.1,5.2,0.00001
HHS Region 9,1 wk ahead,Bin,percent,5.2,5.3,0.00001
HHS Region 9,1 wk ahead,Bin,percent,5.3,5.4,0.00001
HHS Region 9,1 wk ahead,Bin,percent,5.4,5.5,0.00001
HHS Region 9,1 wk ahead,Bin,percent,5.5,5.6,0.00001
HHS Region 9,1 wk ahead,Bin,percent,5.6,5.7,0.00001
HHS Region 9,1 wk ahead,Bin,percent,5.7,5.8,0.00001
HHS Region 9,1 wk ahead,Bin,percent,5.8,5.9,0.00001
HHS Region 9,1 wk ahead,Bin,percent,5.9,6,0.00001
HHS Region 9,1 wk ahead,Bin,percent,6,6.1,0.00001
HHS Region 9,1 wk ahead,Bin,percent,6.1,6.2,0.00001
HHS Region 9,1 wk ahead,Bin,percent,6.2,6.3,0.00001
HHS Region 9,1 wk ahead,Bin,percent,6.3,6.4,0.00001
HHS Region 9,1 wk ahead,Bin,percent,6.4,6.5,0
HHS Region 9,1 wk ahead,Bin,percent,6.5,6.6,0
HHS Region 9,1 wk ahead,Bin,percent,6.6,6.7,0
HHS Region 9,1 wk ahead,Bin,percent,6.7,6.8,0
HHS Region 9,1 wk ahead,Bin,percent,6.8,6.9,0
HHS Region 9,1 wk ahead,Bin,percent,6.9,7,0
HHS Region 9,1 wk ahead,Bin,percent,7,7.1,0
HHS Region 9,1 wk ahead,Bin,percent,7.1,7.2,0
HHS Region 9,1 wk ahead,Bin,percent,7.2,7.3,0
HHS Region 9,1 wk ahead,Bin,percent,7.3,7.4,0
HHS Region 9,1 wk ahead,Bin,percent,7.4,7.5,0
HHS Region 9,1 wk ahead,Bin,percent,7.5,7.6,0
HHS Region 9,1 wk ahead,Bin,percent,7.6,7.7,0
HHS Region 9,1 wk ahead,Bin,percent,7.7,7.8,0
HHS Region 9,1 wk ahead,Bin,percent,7.8,7.9,0
HHS Region 9,1 wk ahead,Bin,percent,7.9,8,0
HHS Region 9,1 wk ahead,Bin,percent,8,8.1,0
HHS Region 9,1 wk ahead,Bin,percent,8.1,8.2,0
HHS Region 9,1 wk ahead,Bin,percent,8.2,8.3,0
HHS Region 9,1 wk ahead,Bin,percent,8.3,8.4,0
HHS Region 9,1 wk ahead,Bin,percent,8.4,8.5,0
HHS Region 9,1 wk ahead,Bin,percent,8.5,8.6,0
HHS Region 9,1 wk ahead,Bin,percent,8.6,8.7,0
HHS Region 9,1 wk ahead,Bin,percent,8.7,8.8,0
HHS Region 9,1 wk ahead,Bin,percent,8.8,8.9,0
HHS Region 9,1 wk ahead,Bin,percent,8.9,9,0
HHS Region 9,1 wk ahead,Bin,percent,9,9.1,0
HHS Region 9,1 wk ahead,Bin,percent,9.1,9.2,0
HHS Region 9,1 wk ahead,Bin,percent,9.2,9.3,0
HHS Region 9,1 wk ahead,Bin,percent,9.3,9.4,0
HHS Region 9,1 wk ahead,Bin,percent,9.4,9.5,0
HHS Region 9,1 wk ahead,Bin,percent,9.5,9.6,0
HHS Region 9,1 wk ahead,Bin,percent,9.6,9.7,0
HHS Region 9,1 wk ahead,Bin,percent,9.7,9.8,0
HHS Region 9,1 wk ahead,Bin,percent,9.8,9.9,0
HHS Region 9,1 wk ahead,Bin,percent,9.9,10,0
HHS Region 9,1 wk ahead,Bin,percent,10,10.1,0
HHS Region 9,1 wk ahead,Bin,percent,10.1,10.2,0
HHS Region 9,1 wk ahead,Bin,percent,10.2,10.3,0
HHS Region 9,1 wk ahead,Bin,percent,10.3,10.4,0
HHS Region 9,1 wk ahead,Bin,percent,10.4,10.5,0
HHS Region 9,1 wk ahead,Bin,percent,10.5,10.6,0
HHS Region 9,1 wk ahead,Bin,percent,10.6,10.7,0
HHS Region 9,1 wk ahead,Bin,percent,10.7,10.8,0
HHS Region 9,1 wk ahead,Bin,percent,10.8,10.9,0
HHS Region 9,1 wk ahead,Bin,percent,10.9,11,0
HHS Region 9,1 wk ahead,Bin,percent,11,11.1,0
HHS Region 9,1 wk ahead,Bin,percent,11.1,11.2,0
HHS Region 9,1 wk ahead,Bin,percent,11.2,11.3,0
HHS Region 9,1 wk ahead,Bin,percent,11.3,11.4,0
HHS Region 9,1 wk ahead,Bin,percent,11.4,11.5,0
HHS Region 9,1 wk ahead,Bin,percent,11.5,11.6,0
HHS Region 9,1 wk ahead,Bin,percent,11.6,11.7,0
HHS Region 9,1 wk ahead,Bin,percent,11.7,11.8,0
HHS Region 9,1 wk ahead,Bin,percent,11.8,11.9,0
HHS Region 9,1 wk ahead,Bin,percent,11.9,12,0
HHS Region 9,1 wk ahead,Bin,percent,12,12.1,0
HHS Region 9,1 wk ahead,Bin,percent,12.1,12.2,0
HHS Region 9,1 wk ahead,Bin,percent,12.2,12.3,0
HHS Region 9,1 wk ahead,Bin,percent,12.3,12.4,0
HHS Region 9,1 wk ahead,Bin,percent,12.4,12.5,0
HHS Region 9,1 wk ahead,Bin,percent,12.5,12.6,0
HHS Region 9,1 wk ahead,Bin,percent,12.6,12.7,0
HHS Region 9,1 wk ahead,Bin,percent,12.7,12.8,0
HHS Region 9,1 wk ahead,Bin,percent,12.8,12.9,0
HHS Region 9,1 wk ahead,Bin,percent,12.9,13,0
HHS Region 9,1 wk ahead,Bin,percent,13,100,0
HHS Region 9,2 wk ahead,Point,percent,NA,NA,2.864746667
HHS Region 9,2 wk ahead,Bin,percent,0,0.1,0.00001
HHS Region 9,2 wk ahead,Bin,percent,0.1,0.2,0.00001
HHS Region 9,2 wk ahead,Bin,percent,0.2,0.3,0.00001
HHS Region 9,2 wk ahead,Bin,percent,0.3,0.4,0.00001
HHS Region 9,2 wk ahead,Bin,percent,0.4,0.5,0.00001
HHS Region 9,2 wk ahead,Bin,percent,0.5,0.6,0.00001
HHS Region 9,2 wk ahead,Bin,percent,0.6,0.7,0.00001
HHS Region 9,2 wk ahead,Bin,percent,0.7,0.8,0.00001
HHS Region 9,2 wk ahead,Bin,percent,0.8,0.9,0.00001
HHS Region 9,2 wk ahead,Bin,percent,0.9,1,0.00001
HHS Region 9,2 wk ahead,Bin,percent,1,1.1,0.00001
HHS Region 9,2 wk ahead,Bin,percent,1.1,1.2,0.00001
HHS Region 9,2 wk ahead,Bin,percent,1.2,1.3,0.00001
HHS Region 9,2 wk ahead,Bin,percent,1.3,1.4,0.00001
HHS Region 9,2 wk ahead,Bin,percent,1.4,1.5,0.00001
HHS Region 9,2 wk ahead,Bin,percent,1.5,1.6,0.00001
HHS Region 9,2 wk ahead,Bin,percent,1.6,1.7,0.00001
HHS Region 9,2 wk ahead,Bin,percent,1.7,1.8,0.00001
HHS Region 9,2 wk ahead,Bin,percent,1.8,1.9,0.00001
HHS Region 9,2 wk ahead,Bin,percent,1.9,2,0.00001
HHS Region 9,2 wk ahead,Bin,percent,2,2.1,0.00001
HHS Region 9,2 wk ahead,Bin,percent,2.1,2.2,0.00001
HHS Region 9,2 wk ahead,Bin,percent,2.2,2.3,0.00001
HHS Region 9,2 wk ahead,Bin,percent,2.3,2.4,0.000733333
HHS Region 9,2 wk ahead,Bin,percent,2.4,2.5,0.0028
HHS Region 9,2 wk ahead,Bin,percent,2.5,2.6,0.0186
HHS Region 9,2 wk ahead,Bin,percent,2.6,2.7,0.078133333
HHS Region 9,2 wk ahead,Bin,percent,2.7,2.8,0.258266667
HHS Region 9,2 wk ahead,Bin,percent,2.8,2.9,0.320466667
HHS Region 9,2 wk ahead,Bin,percent,2.9,3,0.159933333
HHS Region 9,2 wk ahead,Bin,percent,3,3.1,0.087933333
HHS Region 9,2 wk ahead,Bin,percent,3.1,3.2,0.040466667
HHS Region 9,2 wk ahead,Bin,percent,3.2,3.3,0.015133333
HHS Region 9,2 wk ahead,Bin,percent,3.3,3.4,0.006933333
HHS Region 9,2 wk ahead,Bin,percent,3.4,3.5,0.004066667
HHS Region 9,2 wk ahead,Bin,percent,3.5,3.6,0.0026
HHS Region 9,2 wk ahead,Bin,percent,3.6,3.7,0.002
HHS Region 9,2 wk ahead,Bin,percent,3.7,3.8,0.000733333
HHS Region 9,2 wk ahead,Bin,percent,3.8,3.9,0.0004
HHS Region 9,2 wk ahead,Bin,percent,3.9,4,0.0002
HHS Region 9,2 wk ahead,Bin,percent,4,4.1,0.0002
HHS Region 9,2 wk ahead,Bin,percent,4.1,4.2,0.000133333
HHS Region 9,2 wk ahead,Bin,percent,4.2,4.3,0.00001
HHS Region 9,2 wk ahead,Bin,percent,4.3,4.4,0.00001
HHS Region 9,2 wk ahead,Bin,percent,4.4,4.5,6.67E-05
HHS Region 9,2 wk ahead,Bin,percent,4.5,4.6,6.67E-05
HHS Region 9,2 wk ahead,Bin,percent,4.6,4.7,6.67E-05
HHS Region 9,2 wk ahead,Bin,percent,4.7,4.8,0.00001
HHS Region 9,2 wk ahead,Bin,percent,4.8,4.9,6.67E-05
HHS Region 9,2 wk ahead,Bin,percent,4.9,5,0.00001
HHS Region 9,2 wk ahead,Bin,percent,5,5.1,0.00001
HHS Region 9,2 wk ahead,Bin,percent,5.1,5.2,0.00001
HHS Region 9,2 wk ahead,Bin,percent,5.2,5.3,0.00001
HHS Region 9,2 wk ahead,Bin,percent,5.3,5.4,0.00001
HHS Region 9,2 wk ahead,Bin,percent,5.4,5.5,0.00001
HHS Region 9,2 wk ahead,Bin,percent,5.5,5.6,0.00001
HHS Region 9,2 wk ahead,Bin,percent,5.6,5.7,0.00001
HHS Region 9,2 wk ahead,Bin,percent,5.7,5.8,0.00001
HHS Region 9,2 wk ahead,Bin,percent,5.8,5.9,0.00001
HHS Region 9,2 wk ahead,Bin,percent,5.9,6,0.00001
HHS Region 9,2 wk ahead,Bin,percent,6,6.1,0.00001
HHS Region 9,2 wk ahead,Bin,percent,6.1,6.2,0.00001
HHS Region 9,2 wk ahead,Bin,percent,6.2,6.3,0.00001
HHS Region 9,2 wk ahead,Bin,percent,6.3,6.4,0.00001
HHS Region 9,2 wk ahead,Bin,percent,6.4,6.5,0
HHS Region 9,2 wk ahead,Bin,percent,6.5,6.6,0
HHS Region 9,2 wk ahead,Bin,percent,6.6,6.7,0
HHS Region 9,2 wk ahead,Bin,percent,6.7,6.8,0
HHS Region 9,2 wk ahead,Bin,percent,6.8,6.9,0
HHS Region 9,2 wk ahead,Bin,percent,6.9,7,0
HHS Region 9,2 wk ahead,Bin,percent,7,7.1,0
HHS Region 9,2 wk ahead,Bin,percent,7.1,7.2,0
HHS Region 9,2 wk ahead,Bin,percent,7.2,7.3,0
HHS Region 9,2 wk ahead,Bin,percent,7.3,7.4,0
HHS Region 9,2 wk ahead,Bin,percent,7.4,7.5,0
HHS Region 9,2 wk ahead,Bin,percent,7.5,7.6,0
HHS Region 9,2 wk ahead,Bin,percent,7.6,7.7,0
HHS Region 9,2 wk ahead,Bin,percent,7.7,7.8,0
HHS Region 9,2 wk ahead,Bin,percent,7.8,7.9,0
HHS Region 9,2 wk ahead,Bin,percent,7.9,8,0
HHS Region 9,2 wk ahead,Bin,percent,8,8.1,0
HHS Region 9,2 wk ahead,Bin,percent,8.1,8.2,0
HHS Region 9,2 wk ahead,Bin,percent,8.2,8.3,0
HHS Region 9,2 wk ahead,Bin,percent,8.3,8.4,0
HHS Region 9,2 wk ahead,Bin,percent,8.4,8.5,0
HHS Region 9,2 wk ahead,Bin,percent,8.5,8.6,0
HHS Region 9,2 wk ahead,Bin,percent,8.6,8.7,0
HHS Region 9,2 wk ahead,Bin,percent,8.7,8.8,0
HHS Region 9,2 wk ahead,Bin,percent,8.8,8.9,0
HHS Region 9,2 wk ahead,Bin,percent,8.9,9,0
HHS Region 9,2 wk ahead,Bin,percent,9,9.1,0
HHS Region 9,2 wk ahead,Bin,percent,9.1,9.2,0
HHS Region 9,2 wk ahead,Bin,percent,9.2,9.3,0
HHS Region 9,2 wk ahead,Bin,percent,9.3,9.4,0
HHS Region 9,2 wk ahead,Bin,percent,9.4,9.5,0
HHS Region 9,2 wk ahead,Bin,percent,9.5,9.6,0
HHS Region 9,2 wk ahead,Bin,percent,9.6,9.7,0
HHS Region 9,2 wk ahead,Bin,percent,9.7,9.8,0
HHS Region 9,2 wk ahead,Bin,percent,9.8,9.9,0
HHS Region 9,2 wk ahead,Bin,percent,9.9,10,0
HHS Region 9,2 wk ahead,Bin,percent,10,10.1,0
HHS Region 9,2 wk ahead,Bin,percent,10.1,10.2,0
HHS Region 9,2 wk ahead,Bin,percent,10.2,10.3,0
HHS Region 9,2 wk ahead,Bin,percent,10.3,10.4,0
HHS Region 9,2 wk ahead,Bin,percent,10.4,10.5,0
HHS Region 9,2 wk ahead,Bin,percent,10.5,10.6,0
HHS Region 9,2 wk ahead,Bin,percent,10.6,10.7,0
HHS Region 9,2 wk ahead,Bin,percent,10.7,10.8,0
HHS Region 9,2 wk ahead,Bin,percent,10.8,10.9,0
HHS Region 9,2 wk ahead,Bin,percent,10.9,11,0
HHS Region 9,2 wk ahead,Bin,percent,11,11.1,0
HHS Region 9,2 wk ahead,Bin,percent,11.1,11.2,0
HHS Region 9,2 wk ahead,Bin,percent,11.2,11.3,0
HHS Region 9,2 wk ahead,Bin,percent,11.3,11.4,0
HHS Region 9,2 wk ahead,Bin,percent,11.4,11.5,0
HHS Region 9,2 wk ahead,Bin,percent,11.5,11.6,0
HHS Region 9,2 wk ahead,Bin,percent,11.6,11.7,0
HHS Region 9,2 wk ahead,Bin,percent,11.7,11.8,0
HHS Region 9,2 wk ahead,Bin,percent,11.8,11.9,0
HHS Region 9,2 wk ahead,Bin,percent,11.9,12,0
HHS Region 9,2 wk ahead,Bin,percent,12,12.1,0
HHS Region 9,2 wk ahead,Bin,percent,12.1,12.2,0
HHS Region 9,2 wk ahead,Bin,percent,12.2,12.3,0
HHS Region 9,2 wk ahead,Bin,percent,12.3,12.4,0
HHS Region 9,2 wk ahead,Bin,percent,12.4,12.5,0
HHS Region 9,2 wk ahead,Bin,percent,12.5,12.6,0
HHS Region 9,2 wk ahead,Bin,percent,12.6,12.7,0
HHS Region 9,2 wk ahead,Bin,percent,12.7,12.8,0
HHS Region 9,2 wk ahead,Bin,percent,12.8,12.9,0
HHS Region 9,2 wk ahead,Bin,percent,12.9,13,0
HHS Region 9,2 wk ahead,Bin,percent,13,100,0
HHS Region 9,3 wk ahead,Point,percent,NA,NA,3.12378
HHS Region 9,3 wk ahead,Bin,percent,0,0.1,0.00001
HHS Region 9,3 wk ahead,Bin,percent,0.1,0.2,0.00001
HHS Region 9,3 wk ahead,Bin,percent,0.2,0.3,0.00001
HHS Region 9,3 wk ahead,Bin,percent,0.3,0.4,0.00001
HHS Region 9,3 wk ahead,Bin,percent,0.4,0.5,0.00001
HHS Region 9,3 wk ahead,Bin,percent,0.5,0.6,0.00001
HHS Region 9,3 wk ahead,Bin,percent,0.6,0.7,0.00001
HHS Region 9,3 wk ahead,Bin,percent,0.7,0.8,0.00001
HHS Region 9,3 wk ahead,Bin,percent,0.8,0.9,0.00001
HHS Region 9,3 wk ahead,Bin,percent,0.9,1,0.00001
HHS Region 9,3 wk ahead,Bin,percent,1,1.1,0.00001
HHS Region 9,3 wk ahead,Bin,percent,1.1,1.2,0.00001
HHS Region 9,3 wk ahead,Bin,percent,1.2,1.3,0.00001
HHS Region 9,3 wk ahead,Bin,percent,1.3,1.4,0.00001
HHS Region 9,3 wk ahead,Bin,percent,1.4,1.5,0.00001
HHS Region 9,3 wk ahead,Bin,percent,1.5,1.6,0.00001
HHS Region 9,3 wk ahead,Bin,percent,1.6,1.7,0.00001
HHS Region 9,3 wk ahead,Bin,percent,1.7,1.8,0.00001
HHS Region 9,3 wk ahead,Bin,percent,1.8,1.9,0.00001
HHS Region 9,3 wk ahead,Bin,percent,1.9,2,0.00001
HHS Region 9,3 wk ahead,Bin,percent,2,2.1,0.00001
HHS Region 9,3 wk ahead,Bin,percent,2.1,2.2,0.00001
HHS Region 9,3 wk ahead,Bin,percent,2.2,2.3,0.00001
HHS Region 9,3 wk ahead,Bin,percent,2.3,2.4,0.00001
HHS Region 9,3 wk ahead,Bin,percent,2.4,2.5,0.000133333
HHS Region 9,3 wk ahead,Bin,percent,2.5,2.6,0.000466667
HHS Region 9,3 wk ahead,Bin,percent,2.6,2.7,0.0026
HHS Region 9,3 wk ahead,Bin,percent,2.7,2.8,0.011533333
HHS Region 9,3 wk ahead,Bin,percent,2.8,2.9,0.0462
HHS Region 9,3 wk ahead,Bin,percent,2.9,3,0.165733333
HHS Region 9,3 wk ahead,Bin,percent,3,3.1,0.282333333
HHS Region 9,3 wk ahead,Bin,percent,3.1,3.2,0.231666667
HHS Region 9,3 wk ahead,Bin,percent,3.2,3.3,0.122466667
HHS Region 9,3 wk ahead,Bin,percent,3.3,3.4,0.068133333
HHS Region 9,3 wk ahead,Bin,percent,3.4,3.5,0.034133333
HHS Region 9,3 wk ahead,Bin,percent,3.5,3.6,0.014666667
HHS Region 9,3 wk ahead,Bin,percent,3.6,3.7,0.007733333
HHS Region 9,3 wk ahead,Bin,percent,3.7,3.8,0.004666667
HHS Region 9,3 wk ahead,Bin,percent,3.8,3.9,0.002466667
HHS Region 9,3 wk ahead,Bin,percent,3.9,4,0.002
HHS Region 9,3 wk ahead,Bin,percent,4,4.1,0.001266667
HHS Region 9,3 wk ahead,Bin,percent,4.1,4.2,0.000533333
HHS Region 9,3 wk ahead,Bin,percent,4.2,4.3,0.0004
HHS Region 9,3 wk ahead,Bin,percent,4.3,4.4,0.000333333
HHS Region 9,3 wk ahead,Bin,percent,4.4,4.5,0.0002
HHS Region 9,3 wk ahead,Bin,percent,4.5,4.6,6.67E-05
HHS Region 9,3 wk ahead,Bin,percent,4.6,4.7,6.67E-05
HHS Region 9,3 wk ahead,Bin,percent,4.7,4.8,0.00001
HHS Region 9,3 wk ahead,Bin,percent,4.8,4.9,0.00001
HHS Region 9,3 wk ahead,Bin,percent,4.9,5,0.000133333
HHS Region 9,3 wk ahead,Bin,percent,5,5.1,6.67E-05
HHS Region 9,3 wk ahead,Bin,percent,5.1,5.2,0.00001
HHS Region 9,3 wk ahead,Bin,percent,5.2,5.3,0.00001
HHS Region 9,3 wk ahead,Bin,percent,5.3,5.4,0.00001
HHS Region 9,3 wk ahead,Bin,percent,5.4,5.5,0.00001
HHS Region 9,3 wk ahead,Bin,percent,5.5,5.6,0.00001
HHS Region 9,3 wk ahead,Bin,percent,5.6,5.7,0.00001
HHS Region 9,3 wk ahead,Bin,percent,5.7,5.8,0.00001
HHS Region 9,3 wk ahead,Bin,percent,5.8,5.9,0.00001
HHS Region 9,3 wk ahead,Bin,percent,5.9,6,0.00001
HHS Region 9,3 wk ahead,Bin,percent,6,6.1,0.00001
HHS Region 9,3 wk ahead,Bin,percent,6.1,6.2,0.00001
HHS Region 9,3 wk ahead,Bin,percent,6.2,6.3,0.00001
HHS Region 9,3 wk ahead,Bin,percent,6.3,6.4,0.00001
